# padog.action_wave_direct() golden vectors（参考值 = 原版真跑一次）
# 列: group,t_off,ch,duty
# t_off = 相对本次动作开始时刻的毫秒偏移 —— 它把每一步之后的
#         time.sleep_ms() 也钉住了（只比写了什么是钉不住时序的）
# group = 同一毫秒内的那些写；组内按逻辑通道升序
# ch = 逻辑通道 0..11；duty = 写进 PCA9685 的占空比计数
27,540,2,294
27,540,3,311
27,540,4,286
27,540,5,366
27,540,6,325
27,540,7,330
27,540,8,311
27,540,9,347
27,540,10,317
27,540,11,223
28,560,0,328
28,560,1,270
28,560,2,294
28,560,3,311
28,560,4,285
28,560,5,367
28,560,6,325
28,560,7,331
28,560,8,312
28,560,9,347
28,560,10,318
28,560,11,222
29,580,0,327
29,580,1,269
29,580,2,293
29,580,3,311
29,580,4,283
29,580,5,368
29,580,6,325
29,580,7,332
29,580,8,312
29,580,9,347
29,580,10,320
29,580,11,221
30,600,0,327
30,600,1,268
30,600,2,292
30,600,3,311
30,600,4,282
30,600,5,370
30,600,6,326
30,600,7,333
30,600,8,313
30,600,9,347
30,600,10,321
30,600,11,220
31,620,0,327
31,620,1,267
31,620,2,292
31,620,3,311
31,620,4,280
31,620,5,371
31,620,6,326
31,620,7,333
31,620,8,313
31,620,9,347
31,620,10,323
31,620,11,218
32,640,0,327
32,640,1,267
32,640,2,291
32,640,3,311
32,640,4,279
32,640,5,372
32,640,6,326
32,640,7,334
32,640,8,314
32,640,9,347
32,640,10,324
32,640,11,217
33,660,0,327
33,660,1,266
33,660,2,291
33,660,3,311
33,660,4,278
33,660,5,373
33,660,6,326
33,660,7,335
33,660,8,315
33,660,9,347
33,660,10,325
33,660,11,216
34,680,0,326
34,680,1,265
34,680,2,290
34,680,3,311
34,680,4,276
34,680,5,374
34,680,6,327
34,680,7,336
34,680,8,315
34,680,9,347
34,680,10,327
34,680,11,215
35,700,0,326
35,700,1,264
35,700,2,289
35,700,3,311
35,700,4,275
35,700,5,376
35,700,6,327
35,700,7,337
35,700,8,316
35,700,9,347
35,700,10,328
35,700,11,214
36,720,0,326
36,720,1,263
36,720,2,289
36,720,3,311
36,720,4,273
36,720,5,377
36,720,6,327
36,720,7,337
36,720,8,316
36,720,9,347
36,720,10,330
36,720,11,212
37,740,0,326
37,740,1,262
37,740,2,288
37,740,3,311
37,740,4,272
37,740,5,378
37,740,6,327
37,740,7,338
37,740,8,317
37,740,9,347
37,740,10,331
37,740,11,211
38,760,0,326
38,760,1,262
38,760,2,288
38,760,3,311
38,760,4,270
38,760,5,379
38,760,6,327
38,760,7,339
38,760,8,318
38,760,9,347
38,760,10,332
38,760,11,210
39,780,0,325
39,780,1,261
39,780,2,287
39,780,3,311
39,780,4,269
39,780,5,381
39,780,6,328
39,780,7,340
39,780,8,318
39,780,9,347
39,780,10,334
39,780,11,209
40,800,0,325
40,800,1,260
40,800,2,286
40,800,3,311
40,800,4,268
40,800,5,382
40,800,6,328
40,800,7,341
40,800,8,319
40,800,9,347
40,800,10,335
40,800,11,208
41,820,0,325
41,820,1,259
41,820,2,286
41,820,3,311
41,820,4,266
41,820,5,383
41,820,6,328
41,820,7,341
41,820,8,319
41,820,9,347
41,820,10,337
41,820,11,206
42,840,0,325
42,840,1,258
42,840,2,285
42,840,3,311
42,840,4,265
42,840,5,384
42,840,6,328
42,840,7,342
42,840,8,320
42,840,9,347
42,840,10,338
42,840,11,205
43,860,0,325
43,860,1,258
43,860,2,284
43,860,3,311
43,860,4,263
43,860,5,385
43,860,6,328
43,860,7,343
43,860,8,321
43,860,9,347
43,860,10,340
43,860,11,204
44,880,0,324
44,880,1,257
44,880,2,284
44,880,3,311
44,880,4,262
44,880,5,387
44,880,6,329
44,880,7,344
44,880,8,321
44,880,9,347
44,880,10,341
44,880,11,203
45,900,0,324
45,900,1,256
45,900,2,283
45,900,3,311
45,900,4,261
45,900,5,388
45,900,6,329
45,900,7,345
45,900,8,322
45,900,9,347
45,900,10,342
45,900,11,201
46,920,1,206
46,920,2,224
46,920,7,395
46,920,8,381
47,1340,0,333
47,1340,1,215
47,1340,2,215
48,1640,1,261
49,1900,1,188
50,2160,1,261
51,2420,1,188
52,2680,1,261
53,2940,1,188
